userID;animeID;rating;date
1;3914;9;Nov 16, 2009
2;6547;10;Oct 14, 2017
3;15809;9;Aug 3, 2015
4;1535;10;Mar 29, 2018
4;226;10;Mar 29, 2018
4;746;8;Mar 29, 2018
5;2476;6;Apr 22, 2016
5;24415;10;Jul 3, 2015
6;28623;8;Oct 5, 2017
7;11933;9;Jan 24, 2018
8;35557;9;Jan 15, 2018
8;21557;7;Oct 15, 2018
8;36470;6;Oct 27, 2018
9;713;10;Apr 15, 2009
10;17513;5;Nov 6, 2018
11;30240;1;Jun 5, 2016
12;7593;10;Aug 31, 2012
13;35849;10;Dec 2, 2018
13;6547;10;Dec 2, 2018
13;7593;6;Dec 3, 2018
13;1195;6;Dec 3, 2018
13;33743;6;Dec 3, 2018
14;14813;6;Mar 21, 2015
15;22101;9;Aug 15, 2015
15;853;9;Sep 4, 2015
16;35507;10;Jan 20, 2018
16;25157;10;Jan 25, 2017
17;35843;8;Dec 24, 2017
17;33836;5;Feb 20, 2017
17;34096;6;Mar 27, 2017
18;4654;9;Jan 17, 2015
18;11757;8;Oct 10, 2014
19;27775;9;Feb 1, 2017
20;2476;6;Nov 3, 2016
21;22729;6;Dec 7, 2016
21;36889;10;Nov 5, 2018
22;34501;8;Apr 29, 2017
23;1222;10;Feb 15, 2014
24;31229;9;Oct 8, 2016
25;1530;10;Sep 9, 2015
25;4224;10;Sep 9, 2015
25;21681;10;Sep 9, 2015
25;97;9;Sep 9, 2015
25;2246;10;Sep 9, 2015
25;10572;10;Sep 9, 2015
25;9181;10;Sep 9, 2015
25;3455;8;Sep 9, 2015
25;13663;10;Sep 9, 2015
25;14829;10;Sep 9, 2015
25;24855;8;Sep 9, 2015
25;16910;8;Sep 9, 2015
25;329;9;Sep 9, 2015
25;490;9;Sep 9, 2015
25;5914;9;Sep 9, 2015
25;15883;9;Sep 9, 2015
25;487;8;Sep 9, 2015
25;1070;8;Sep 9, 2015
25;24031;9;Sep 9, 2015
25;229;9;Sep 9, 2015
25;4483;7;Sep 9, 2015
25;273;8;Sep 9, 2015
25;17549;10;Sep 9, 2015
25;23269;10;Sep 9, 2015
25;16732;10;Sep 9, 2015
25;831;10;Sep 9, 2015
25;162;9;Sep 9, 2015
25;6381;10;Sep 9, 2015
25;3667;10;Sep 9, 2015
