id;titulo;titulo_ingles;valoracion;generos;tipo
1;Cowboy Bebop;Cowboy Bebop;8.81;Action|Adventure|Comedy|Drama|Sci-Fi|Space;TV
5;Cowboy Bebop: Tengoku no Tobira;Cowboy Bebop: The Movie;8.41;Action|Drama|Mystery|Sci-Fi|Space;Movie
6;Trigun;Trigun;8.30;Action|Sci-Fi|Adventure|Comedy|Drama|Shounen;TV
7;Witch Hunter Robin;Witch Hunter Robin;7.33;Action|Magic|Police|Supernatural|Drama|Mystery;TV
8;Bouken Ou Beet;Beet the Vandel Buster;7.03;Adventure|Fantasy|Shounen|Supernatural;TV
15;Eyeshield 21;;8.04;Action|Sports|Comedy|Shounen;TV
16;Hachimitsu to Clover;Honey and Clover;8.12;Comedy|Drama|Josei|Romance|Slice of Life;TV
17;Hungry Heart: Wild Striker;;7.67;Slice of Life|Comedy|Sports|Shounen;TV
18;Initial D Fourth Stage;;8.23;Action|Cars|Sports|Drama|Seinen;TV
19;Monster;Monster;8.69;Drama|Horror|Mystery|Police|Psychological|Seinen|Thriller;TV
20;Naruto;Naruto;7.89;Action|Adventure|Comedy|Super Power|Martial Arts|Shounen;TV
21;One Piece;One Piece;8.53;Action|Adventure|Comedy|Super Power|Drama|Fantasy|Shounen;TV
22;Tennis no Ouji-sama;The Prince of Tennis;8.00;Action|Comedy|Sports|School|Shounen;TV
23;Ring ni Kakero 1;;6.61;Action|Shounen|Sports;TV
24;School Rumble;School Rumble;8.02;Comedy|Romance|School|Shounen;TV
25;Sunabouzu;Desert Punk;7.50;Action|Adventure|Comedy|Ecchi|Sci-Fi|Shounen;TV
26;Texhnolyze;Texhnolyze;7.78;Action|Sci-Fi|Psychological|Drama;TV
27;Trinity Blood;Trinity Blood;7.40;Action|Supernatural|Vampire;TV
28;Yakitate!! Japan;Yakitate!! Japan;8.01;Comedy|Shounen;TV
29;Zipang;;7.54;Action|Military|Sci-Fi|Historical|Drama|Seinen;TV
30;Neon Genesis Evangelion;Neon Genesis Evangelion;8.32;Action|Dementia|Drama|Mecha|Psychological|Sci-Fi;TV
31;Neon Genesis Evangelion: Death & Rebirth;Neon Genesis Evangelion: Death & Rebirth;7.50;Drama|Mecha|Psychological|Sci-Fi;Movie
32;Neon Genesis Evangelion: The End of Evangelion;Neon Genesis Evangelion: The End of Evangelion;8.49;Sci-Fi|Dementia|Psychological|Drama|Mecha;Movie
33;Kenpuu Denki Berserk;Berserk;8.46;Action|Adventure|Demons|Drama|Fantasy|Horror|Military|Romance|Seinen|Supernatural;TV
43;Ghost in the Shell;Ghost in the Shell;8.34;Action|Sci-Fi|Police|Psychological|Mecha|Seinen;Movie
44;Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen;Samurai X: Trust and Betrayal;8.78;Action|Historical|Drama|Romance|Martial Arts|Samurai|Shounen;OVA
